2026-09-06 15:41:22 | INFO     | cocacola.Fixtures            | gw1 | test_signup_duplicate_email[webkit] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[webkit] | layer=ui ====
2026-09-06 15:41:22 | INFO     | cocacola.Fixtures            | gw1 | test_signup_duplicate_email[webkit] | Generated test user autotest_user_20260906_154122_0163a586@example.com
2026-09-06 15:41:22 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-06 15:41:22 | INFO     | cocacola.CookieBanner        | gw1 | test_signup_duplicate_email[webkit] | Cookie banner displayed - accepting
2026-09-06 15:41:22 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering first name: Erica
2026-09-06 15:41:23 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering last name: Perkins
2026-09-06 15:41:23 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering email: autotest_user_20260906_154122_0163a586@example.com
2026-09-06 15:41:23 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering password: *****
2026-09-06 15:41:23 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering zip code: 66309
2026-09-06 15:41:23 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Clicking Create account button
2026-09-06 15:41:23 | INFO     | cocacola.ProfilePage         | gw1 | test_signup_duplicate_email[webkit] | Clicking Sign out link
2026-09-06 15:41:23 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-06 15:41:25 | INFO     | cocacola.CookieBanner        | gw1 | test_signup_duplicate_email[webkit] | Cookie banner not displayed - nothing to do
2026-09-06 15:41:25 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering first name: Erica
2026-09-06 15:41:25 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering last name: Perkins
2026-09-06 15:41:25 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering email: autotest_user_20260906_154122_0163a586@example.com
2026-09-06 15:41:25 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering password: *****
2026-09-06 15:41:26 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Entering zip code: 66309
2026-09-06 15:41:26 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[webkit] | Clicking Create account button
2026-09-06 15:41:26 | INFO     | cocacola.Fixtures            | gw1 | test_signup_duplicate_email[webkit] | ==== TEST END   | test_signup_duplicate_email[webkit] | PASSED ====
